x,y,existing_z_m,design_z_m,cut_fill_m,field_zone
1033.865,955.526,111.857,103.59447919175985,8.262520808240154,Heavy Cut > 2.0 m
1034.865,955.526,111.857,103.57737762233512,8.279622377664879,Heavy Cut > 2.0 m
1035.865,955.526,109.229,103.57294071699513,5.656059283004865,Heavy Cut > 2.0 m
1036.865,955.526,108.608,103.58038542400564,5.027614575994363,Heavy Cut > 2.0 m
1037.865,955.526,108.608,103.59262668026321,5.015373319736796,Heavy Cut > 2.0 m
1038.865,955.526,108.608,103.60363689608425,5.00436310391575,Heavy Cut > 2.0 m
1039.865,955.526,108.608,103.6100689543498,4.997931045650205,Heavy Cut > 2.0 m
1040.865,955.526,108.608,103.61202045312567,4.995979546874338,Heavy Cut > 2.0 m
1041.865,955.526,108.608,103.61207355673997,4.995926443260032,Heavy Cut > 2.0 m
1001.865,956.526,121.149,105.71882602292713,15.430173977072869,Heavy Cut > 2.0 m
1002.865,956.526,121.149,106.09900396473348,15.049996035266517,Heavy Cut > 2.0 m
